Id,Label
0,0
1,1
2,1
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,0
39,1
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,1
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,0
76,1
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,1
111,0
112,1
113,1
114,0
115,0
116,0
117,0
118,1
119,0
120,1
121,0
122,1
123,0
124,0
125,1
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,0
139,0
140,0
141,0
142,1
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,0
151,0
152,1
153,0
154,0
155,1
156,0
157,0
158,0
159,0
160,1
161,0
162,0
163,1
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,0
172,1
173,0
174,1
175,0
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,0
193,0
194,0
195,1
196,0
197,0
198,1
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,0
220,0
221,1
222,0
223,0
224,1
225,1
226,1
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,0
248,0
249,1
250,1
251,0
252,0
253,0
254,1
255,1
256,0
257,0
258,1
259,1
260,0
261,0
262,0
263,0
264,0
265,0
266,1
267,0
268,0
269,0
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,1
294,0
295,0
296,1
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,0
309,1
310,0
311,1
312,0
313,0
314,0
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,1
334,0
335,1
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,0
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,1
363,0
364,1
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,1
379,0
380,1
381,0
382,0
383,0
384,1
385,1
386,0
387,0
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,1
396,1
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,1
418,1
419,0
420,1
421,0
422,0
423,1
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,1
433,0
434,1
435,0
436,1
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,1
449,0
450,1
451,1
452,1
453,1
454,1
455,1
456,0
457,0
458,1
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,1
467,0
468,1
469,0
470,0
471,0
472,0
473,1
474,1
475,0
476,0
477,0
478,1
479,1
480,0
481,1
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,1
499,0
500,0
501,0
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,0
510,1
511,0
512,0
513,0
514,0
515,0
516,1
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,1
526,1
527,0
528,0
529,0
530,0
531,1
532,1
533,0
534,0
535,0
536,0
537,1
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,1
549,0
550,0
551,1
552,1
553,1
554,0
555,0
556,1
557,0
558,0
559,0
560,0
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,1
569,0
570,0
571,1
572,1
573,1
574,0
575,1
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,1
585,0
586,0
587,0
588,1
589,0
590,1
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,1
602,0
603,0
604,0
605,0
606,0
607,0
608,1
609,0
610,1
611,1
612,1
613,0
614,1
615,0
616,0
617,0
618,1
619,0
620,0
621,0
622,0
623,0
624,1
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,1
635,1
636,0
637,1
638,1
639,0
640,0
641,0
642,1
643,0
644,1
645,1
646,0
647,0
648,0
649,1
650,0
651,0
652,1
653,1
654,1
655,0
656,1
657,0
658,0
659,0
660,1
661,0
662,0
663,1
664,1
665,1
666,0
667,0
668,0
669,0
670,1
671,0
672,1
673,0
674,0
675,0
676,1
677,1
678,0
679,1
680,0
681,1
682,0
683,0
684,0
685,0
686,1
687,1
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,1
696,0
697,0
698,0
699,0
700,1
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,0
710,0
711,1
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,1
723,0
724,0
725,0
726,1
727,1
728,1
729,0
730,1
731,0
732,1
733,0
734,1
735,0
736,0
737,0
738,1
739,0
740,0
741,0
742,0
743,0
744,1
745,0
746,0
747,1
748,0
749,0
750,0
751,1
752,0
753,1
754,0
755,0
756,0
757,0
758,1
759,1
760,0
761,1
762,1
763,0
764,1
765,1
766,0
767,0
768,1
769,0
770,1
771,1
772,0
773,1
774,1
775,0
776,1
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,1
786,0
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,0
795,0
796,0
797,0
798,0
799,1
800,0
801,0
802,0
803,1
804,1
805,0
806,0
807,0
808,1
809,0
810,1
811,0
812,0
813,1
814,0
815,1
816,1
817,1
818,0
819,0
820,0
821,0
822,0
823,1
824,0
825,0
826,1
827,0
828,1
829,0
830,0
831,1
832,0
833,0
834,0
835,1
836,0
837,0
838,0
839,1
840,0
841,1
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,1
850,1
851,1
852,0
853,1
854,1
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,1
864,0
865,1
866,0
867,1
868,0
869,1
870,1
871,1
872,0
873,0
874,1
875,0
876,0
877,0
878,0
879,1
880,0
881,1
882,0
883,0
884,1
885,1
886,0
887,0
888,0
889,0
890,1
891,0
892,0
893,0
894,0
895,0
896,0
897,1
898,0
899,0
900,1
901,0
902,0
903,1
904,0
905,0
906,1
907,1
908,0
909,0
910,1
911,0
912,1
913,1
914,0
915,0
916,0
917,0
918,1
919,0
920,0
921,0
922,0
923,0
924,0
925,1
926,0
927,1
928,0
929,0
930,1
931,1
932,0
933,0
934,0
935,0
936,0
937,1
938,0
939,0
940,0
941,0
942,1
943,0
944,1
945,0
946,0
947,0
948,1
949,0
950,0
951,0
952,0
953,0
954,1
955,0
956,0
957,1
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,1
966,0
967,0
968,1
969,0
970,0
971,1
972,0
973,1
974,0
975,0
976,1
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,1
986,0
987,0
988,1
989,0
990,0
991,0
992,0
993,0
994,0
995,1
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,0
1003,0
1004,1
1005,0
1006,0
1007,0
1008,1
1009,0
1010,0
1011,0
1012,1
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,0
1024,0
1025,1
1026,0
1027,1
1028,0
1029,1
1030,0
1031,0
1032,1
1033,0
1034,0
1035,0
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,1
1060,1
